,Unnamed: 0,emoji_symbol,emoji_name,emoji_code,emoji_description,preprocessed_description,avg_glove_embedding
0,0,😀,Grinning Face,U+1F600,"A yellow face with simple, open eyes and a broad, open smile, showing upper teeth and tongue on some platforms. Often conveys general pleasure and good cheer or humor.Not to be confused with😃 Grinning Face With Big Eyesor😄 Grinning Face With Smiling Eyes, which have the same smiles but more expressive eye shapes.This emoji has a cat variant,😺 Grinning Cat Face.","['yellow', 'face', 'simple', 'open', 'eyes', 'broad', 'open', 'smile', 'showing', 'upper', 'teeth', 'tongue', 'platforms', 'often', 'conveys', 'general', 'pleasure', 'good', 'cheer', 'confused', 'grinning', 'face', 'big', 'grinning', 'face', 'smiling', 'eyes', 'smiles', 'expressive', 'eye', 'emoji', 'cat', 'variant', 'grinning', 'cat', 'face']","[-0.05930327  0.35218397  0.43395171 -0.12258554  0.06305937  0.37891134
 -0.2883654   0.09169994 -0.05414372 -0.32154709 -0.26650945  0.02116586
  0.39788769  0.07167966  0.31061497  0.210968   -0.17650148  0.20071566
  0.11206828 -0.10764008  0.0686942   0.19454968 -0.10344411 -0.18674517
  0.50585883  0.4840676  -0.13399481 -0.277326    0.10005874 -0.24886603
  0.21497052  0.16937448 -0.00785789 -0.10838272  0.34476989  0.05951737
 -0.18924697  0.02182089  0.20252986 -0.03828259  0.02880191 -0.43547434
  0.08455885 -0.14119326 -0.15976694  0.11818975  0.16721946  0.23364474
 -0.01106368 -0.377144    0.0034518  -0.19946888  0.21372275  0.83450255
 -0.056626   -1.51512717  0.12700671 -0.01079069  0.77324663  0.11053886
  0.18606523  0.85109485 -0.29809348  0.10459246  0.37532843  0.08264265
  0.45009277  0.10899173  0.0182294  -0.11104754  0.03326     0.10447354
  0.11406623 -0.44592991  0.1617342   0.18188514 -0.16205568  0.08364589
 -0.14728969 -0.24392263  0.46573371 -0.22214488 -0.20421285  0.04978109
 -1.0287957  -0.46742895 -0.12256306  0.16813703 -0.00821869  0.03410831
  0.12611845 -0.1123962   0.05951494  0.16294107 -0.16149114  0.02368546
 -0.40211243 -0.25720004  0.20021046  0.11908683]"
1,1,😃,Grinning Face with Big Eyes,U+1F603,"A yellow face with smiling eyes and a broad, open smile, showing upper teeth and tongue on some platforms. Often conveys general happiness and good-natured amusement.Similar to😀 Grinning Facebutwith taller, more excited eyes.","['yellow', 'face', 'smiling', 'eyes', 'broad', 'open', 'smile', 'showing', 'upper', 'teeth', 'tongue', 'platforms', 'often', 'conveys', 'general', 'happiness', 'grinning', 'facebutwith', 'taller', 'excited', 'eyes']","[-0.04583876  0.34958995  0.3946055  -0.0641052   0.1441571   0.2393155
 -0.36443575  0.1683677   0.03738915 -0.2707859  -0.1866619   0.03392315
  0.45355205  0.04343751  0.3368554   0.05603515 -0.3016126   0.18229345
  0.066497   -0.20690548 -0.01259851  0.23423505 -0.1479885  -0.18198015
  0.56938446  0.40736399 -0.03536063 -0.28320145  0.1773844  -0.18376495
  0.27019345  0.21160195  0.0521783  -0.0614464   0.3528929   0.0793451
 -0.0771315   0.0412559   0.19562145  0.12711356  0.02094125 -0.51936095
  0.05820715 -0.08490935 -0.1559622   0.04407176  0.24514385  0.30532799
 -0.01370404 -0.366499    0.05454865 -0.2587258   0.1685826   0.84039545
 -0.07140195 -1.44666814  0.13225725 -0.00952335  0.77360251  0.1172548
  0.1254849   0.901993   -0.2625606   0.1565093   0.36462579  0.0961247
  0.4945191   0.09580392  0.08524855 -0.12682255  0.24366525  0.1499014
  0.17572468 -0.49215585  0.16284924  0.181342   -0.19543775  0.0917636
 -0.12908671 -0.31759756  0.28443955 -0.12250475 -0.33742549  0.05929923
 -0.93570949 -0.46757418 -0.050887    0.10961365  0.05528495  0.1019453
  0.147137   -0.15242855  0.02432565  0.17885701 -0.25309665 -0.01157685
 -0.4468981  -0.26909463  0.151434    0.16198062]"
2,2,😄,Grinning Face with Smiling Eyes,U+1F604,"A yellow face with smiling eyes and a broad, open smile, showing upper teeth and tongue on some platforms. Often conveys general happiness and good-natured amusement.Similar to😀 Grinning Faceand😃Grinning Face With Big Eyes, but with warmer, less excited eyes.This emoji has a cat variant,😸Grinning Cat Face With Smiling Eyes.","['yellow', 'face', 'smiling', 'eyes', 'broad', 'open', 'smile', 'showing', 'upper', 'teeth', 'tongue', 'platforms', 'often', 'conveys', 'general', 'happiness', 'grinning', 'face', 'big', 'eyes', 'warmer', 'less', 'excited', 'emoji', 'cat', 'variant', 'cat', 'face', 'smiling', 'eyes']","[-7.63753869e-02  3.65327895e-01  4.75686204e-01 -1.24358069e-01
  6.57193838e-02  2.67746944e-01 -2.58740581e-01  1.46187416e-01
 -3.97030709e-02 -3.26339999e-01 -2.98237898e-01  2.91347928e-02
  4.59830828e-01  8.55231943e-02  3.27215452e-01  9.94785885e-02
 -2.09390412e-01  1.29407728e-01  1.46233446e-01 -1.48216881e-01
  5.13317723e-02  2.33005965e-01 -1.35768236e-01 -1.55449415e-01
  5.24477832e-01  4.89167582e-01 -9.85728116e-02 -2.91040413e-01
  1.27599444e-01 -1.80940391e-01  2.63902035e-01  2.13658896e-01
  2.71641368e-02 -6.90022087e-02  3.83671966e-01  1.07734591e-01
 -8.47474162e-02  2.14678634e-02  1.85966758e-01  4.52716652e-02
 -1.75070359e-02 -4.91454168e-01  5.11961343e-02 -1.32348171e-01
 -1.47777956e-01  1.11655151e-01  1.82427553e-01  2.54029579e-01
  2.77679376e-02 -4.29040551e-01  4.14552769e-02 -2.21543998e-01
  1.87163962e-01  8.90608692e-01 -8.65197584e-02 -1.57318664e+00
  1.08712583e-01  1.26079341e-03  8.00046971e-01  1.43384036e-01
  1.95616142e-01  9.26705510e-01 -3.25180065e-01  9.89829674e-02
  4.33329031e-01  1.80635309e-01  4.49157346e-01  8.46710850e-02
  9.40323749e-02 -1.27828688e-01  1.07504311e-01  6.70316526e-02
  1.06226714e-01 -3.84250934e-01  1.42510997e-01  1.80561033e-01
 -1.87022410e-01  2.11675519e-02 -1.86402865e-01 -2.06587490e-01
  4.02815199e-01 -1.65208763e-01 -2.85338615e-01  6.38320574e-02
 -9.99966128e-01 -4.78209501e-01 -8.29005525e-02  8.58770067e-02
  1.10783816e-02  4.24515839e-02  1.73359966e-01 -1.02004795e-01
  6.66092781e-02  1.13387195e-01 -2.41460931e-01  2.53969678e-02
 -4.42421107e-01 -1.97503612e-01  1.70579311e-01  2.37434817e-02]"
3,3,😁,Beaming Face with Smiling Eyes,U+1F601,"A yellow face with smiling eyes and full-toothed grin, as if sayingCheese!for the camera.Teeth may be smoothed-over or crosshatched. Often expresses a radiant, gratified happiness. Tone varies, including warm, silly, amused, or proud.Prior to 2017, Apple's design resembled its😬 Grimacing Face.Beaming Face with Smiling Eyeswas approved as part ofUnicode 6.0in 2010
under the name “Grinning Face with Smiling Eyes”
and added toEmoji 1.0in 2015.","['yellow', 'face', 'smiling', 'eyes', 'grin', 'sayingcheese', 'may', 'crosshatched', 'often', 'expresses', 'radiant', 'gratified', 'happiness', 'tone', 'varies', 'including', 'warm', 'silly', 'amused', 'apple', 'design', 'resembled', 'grimacing', 'face', 'smiling', 'eyeswas', 'approved', 'part', 'ofunicode', 'name', 'grinning', 'face', 'smiling', 'eyes', 'added', 'toemoji']","[-0.05805501  0.21979669  0.37516787 -0.08064475  0.07769604  0.38049059
 -0.19829187  0.11786488 -0.05179828 -0.12876494 -0.32441842 -0.03753891
  0.37730616 -0.1247101   0.23221581  0.03796597 -0.17436249  0.07581206
 -0.00136806 -0.16032703 -0.10039814  0.02850828 -0.11959478 -0.06048397
  0.39578616  0.35968781 -0.07047856 -0.10622278  0.03103353 -0.22492506
  0.14043819  0.26435856 -0.02518879 -0.10563865  0.14627076  0.23510597
 -0.01941851 -0.01692928  0.15359525 -0.13883082 -0.01788916 -0.3837745
  0.14313025 -0.07461775 -0.192127    0.04297177  0.20753538  0.21351433
 -0.00813422 -0.54279747  0.17129491 -0.2765307   0.280865    0.81751119
 -0.19337194 -1.33838414  0.08222318  0.00167003  0.51449394  0.10172466
  0.13144737  0.77959425 -0.27853271  0.01987753  0.29166909 -0.04034269
  0.50168893  0.15896197 -0.046574   -0.08773441  0.141155    0.01808088
  0.08190347 -0.34573348  0.20934631  0.28545798 -0.051253    0.01801375
 -0.14604235 -0.20339761  0.36169884 -0.25502731 -0.16402312  0.08608841
 -0.93849374 -0.43984716 -0.06385281  0.00909478 -0.05419328 -0.06998163
  0.03429681 -0.14866159 -0.00573922 -0.00787166 -0.14828584  0.04858166
 -0.43480409 -0.22520806  0.10202583  0.12388391]"
4,4,😆,Grinning Squinting Face,U+1F606,"A yellow face with a broad, open smile and scrunched, X-shapedeyes. Often conveysexcitement or hearty laughter.Similar to😀 Grinning Facebut with eyes that might saySquee!orAwesome!An emoji form of the >< or xD emoticons.","['yellow', 'face', 'broad', 'open', 'smile', 'scrunched', 'often', 'conveysexcitement', 'hearty', 'grinning', 'facebut', 'eyes', 'might', 'saysquee', 'orawesome', 'emoji', 'form', 'xd', 'emoticons']","[-1.09644592e-01  4.07070716e-01  2.71183566e-01 -1.34338715e-01
  2.79056787e-01  3.42427143e-01 -2.81438798e-01  1.33518069e-01
 -9.36944298e-02 -2.43450071e-01 -3.84067144e-01  1.50972787e-01
  2.32378286e-01  1.75756572e-01  3.08089786e-01  2.54826639e-01
 -1.04500498e-01  1.81586356e-01  9.49435692e-02 -2.45403327e-01
 -4.35923734e-02  1.95383852e-01 -3.18038581e-02 -7.30940000e-02
  5.88558508e-01  3.97531070e-01  1.98833922e-02 -1.00402717e-01
 -1.18272919e-02 -3.60537565e-01  1.91268431e-01  2.87243637e-01
 -4.88007101e-02 -3.01447998e-01  3.88993138e-01  1.51663069e-01
  8.85281440e-02 -1.47053286e-01  1.73153998e-01  5.92075264e-02
  1.34546139e-01 -4.13257567e-01  8.48085647e-02 -1.63322288e-01
 -1.05626003e-01  1.05785502e-01  2.15395288e-01  3.16849635e-01
  1.58428284e-01 -3.98815503e-01 -5.01497833e-02 -1.68766214e-01
  1.46431931e-01  6.59838576e-01 -5.27572552e-04 -1.25870663e+00
  1.84302565e-01 -3.47508575e-02  6.62717865e-01  1.81144500e-01
  5.86793386e-02  7.94160713e-01 -3.08873642e-01 -4.13973559e-02
  3.97708978e-01 -9.14130001e-02  3.79722285e-01  1.07339429e-01
 -6.32462164e-02 -2.58130788e-01  1.15575068e-01 -3.42535012e-02
 -3.08281211e-02 -4.69058359e-01 -1.45565017e-02  1.31513646e-01
 -2.12483143e-01  3.38310078e-02 -9.16730160e-02 -1.43609140e-01
  5.38723851e-01 -3.00422782e-01 -2.18509286e-01  1.46091466e-02
 -8.50660567e-01 -4.08414054e-01 -8.35644283e-02  2.71898351e-01
 -6.53369984e-02  2.06998640e-01 -6.66141390e-02 -5.81078585e-02
  1.06542149e-02 -1.67508796e-02 -1.20282425e-01 -7.85051414e-02
 -2.41845142e-01 -2.21074752e-01  6.50262865e-02  2.31932932e-01]"
5,5,😅,Grinning Face with Sweat,U+1F605,"Has the same grin and eyes as😄 Grinning Face With Smiling Eyesbut with a single, blue bead of sweat, usually over its left eye. Intended to depict nerves or discomfort but commonly used to express a close call, as if sayingWhew!and wiping sweat from the forehead.","['grin', 'eyes', 'grinning', 'face', 'smiling', 'eyesbut', 'single', 'blue', 'bead', 'sweat', 'usually', 'left', 'eye', 'intended', 'depict', 'nerves', 'discomfort', 'commonly', 'used', 'express', 'close', 'call', 'sayingwhew', 'wiping', 'sweat', 'forehead']","[-0.14307617  0.22746216  0.11071216 -0.14487256  0.02267481  0.47010012
 -0.23707912  0.13238204 -0.09537554 -0.16101829 -0.19757854 -0.06619979
  0.48155042  0.13135883  0.29647654  0.00872251 -0.04803292  0.11251521
  0.14368791 -0.27228958  0.14150887  0.07128358 -0.18557167 -0.09406212
  0.42431391  0.44599571 -0.12707734 -0.20605862  0.28294153 -0.3293264
  0.31560021  0.17513694 -0.0894373   0.03648125  0.07292425  0.05856921
 -0.14643508  0.07927263  0.27255483  0.04087984  0.03070461 -0.28619177
 -0.00608383 -0.12271196 -0.25546625  0.0687808   0.18495392  0.2299645
  0.00962058 -0.54409458 -0.047981   -0.01915329  0.22264846  0.75328101
 -0.18988334 -1.41047346 -0.12105479 -0.06732334  0.77459085  0.29705309
  0.14151275  0.78992416 -0.1602242   0.25589938  0.21312846  0.16992783
  0.55213313 -0.04763633  0.01049841 -0.30242696 -0.045696    0.06489229
  0.10610425 -0.40245957  0.22116869  0.1337172  -0.09818721  0.01349508
 -0.20246241 -0.03444892  0.32281196 -0.15815525 -0.29434725  0.01027142
 -0.96655511 -0.35282691 -0.02803304  0.26147137 -0.00557884  0.16935721
 -0.10726567 -0.12208521  0.08233921 -0.0581251  -0.11843483  0.0423382
 -0.21523679 -0.18590032  0.15991683  0.06383858]"
6,6,🤣,Rolling on the Floor Laughing,U+1F923,"A yellow face with a big grin and scrunched, X-shaped eyes, tilted on its side as if rolling on the floor laughing (the internet acronymROFL). Shedstwo tears and tilts right on most platforms. Often conveys hysterical laughtermore intense than😂 Face With Tears of Joy.Microsoft's designpreviously featureda smiley with hands and feet.","['yellow', 'face', 'big', 'grin', 'scrunched', 'eyes', 'tilted', 'side', 'rolling', 'floor', 'laughing', 'internet', 'acronymrofl', 'shedstwo', 'tears', 'tilts', 'right', 'platforms', 'often', 'conveys', 'hysterical', 'laughtermore', 'intense', 'face', 'tears', 'designpreviously', 'featureda', 'smiley', 'hands', 'feet']","[-7.40673032e-03  2.78968924e-01  2.99315920e-01 -2.62336451e-01
  7.09836018e-02  4.95877277e-01 -3.78633118e-01  1.68331882e-01
  7.04901143e-02 -2.10818159e-01  5.10272010e-02  1.08866881e-01
  2.70602541e-01  1.05555180e-02  2.82388029e-01 -6.81257185e-02
 -2.97598404e-01  1.88778698e-01  1.17693679e-01 -2.95138819e-01
  7.12056646e-02  3.33208440e-01 -1.12805961e-02 -8.42213592e-02
  6.11799562e-01  3.41564882e-01 -1.94814960e-01 -4.86024003e-02
  2.22168251e-01 -3.05831320e-01  2.55165402e-01  2.19258763e-01
  7.44594404e-02 -2.84068055e-03  6.61208374e-02  6.80443313e-02
 -4.75663188e-02 -7.22774386e-02  1.86972879e-01  1.97327731e-01
 -1.77829340e-05 -3.43044399e-01 -6.41747607e-02 -1.66518570e-01
 -2.27785440e-01  1.03707882e-01  8.75890806e-02  2.83337155e-01
  6.13674053e-02 -3.51505226e-01  1.08929520e-03 -1.73543945e-01
  1.96701227e-01  8.61989289e-01 -1.93342789e-02 -1.47518415e+00
  1.37887921e-01 -4.79311196e-02  7.63617609e-01  3.04489398e-01
  2.59308800e-01  7.68015834e-01 -2.20789833e-01  1.02492599e-01
  3.01933199e-01  3.99496791e-02  5.97264801e-01 -1.05435184e-02
 -5.13263192e-02 -2.03472240e-01  1.67894040e-01  5.28116941e-02
  1.90390684e-01 -3.78768314e-01  1.20820480e-01  6.17370371e-02
 -9.79082777e-02  5.88412787e-02  2.19978340e-02 -3.26374397e-02
  4.98115754e-01 -6.74889221e-02 -2.40044678e-01  6.23043576e-02
 -8.54353408e-01 -5.22141599e-01 -1.37189883e-01  5.46015987e-02
 -7.93269201e-02 -4.98305697e-02  1.92155980e-02 -6.40575208e-02
 -6.85280820e-02  1.67047998e-01 -6.87240389e-02  3.57800397e-02
 -2.80430719e-01 -3.30366719e-02  3.18921202e-01  2.51314199e-01]"
7,7,😂,Face with Tears of Joy,U+1F602,"A yellow face with a biggrin, uplifted eyebrows, and smiling eyes, each shedding a tear from laughing so hard. Widely used to show something is funny or pleasing.Not to be confused with😭 Loudly Crying Faceor🤣Rolling on the Floor Laughing, which expresses more intense laughter.One of the ten most popular emojis between 2014–2018 and was named the Oxford Dictionaries 2015Word of the Year.This emoji has a cat variant,😹Cat Face With Tears of Joy.","['yellow', 'face', 'biggrin', 'uplifted', 'eyebrows', 'smiling', 'eyes', 'shedding', 'tear', 'laughing', 'hard', 'widely', 'used', 'show', 'something', 'funny', 'confused', 'loudly', 'crying', 'floor', 'laughing', 'expresses', 'intense', 'ten', 'popular', 'emojis', 'named', 'oxford', 'dictionaries', 'emoji', 'cat', 'variant', 'face', 'tears', 'joy']","[-1.84763239e-02  2.77215515e-01  2.33869222e-01 -2.03382888e-01
 -1.14168127e-02  5.71268781e-01 -1.68937372e-01  9.39204339e-02
  8.11856247e-02 -2.53011174e-01 -1.87805250e-01  2.42284385e-02
  2.04514439e-01  1.78428411e-02  9.44518442e-02 -4.14355319e-02
 -1.16667419e-01  8.23460316e-02  5.01499375e-02 -8.29418716e-02
  1.55657901e-01  1.32227440e-01 -7.72392806e-02 -1.51527279e-01
  4.62718220e-01  2.27178035e-01 -1.73404124e-01 -1.24110998e-01
  2.33419203e-01  6.22158746e-02  6.79869402e-02  2.31432595e-01
 -6.35230634e-02 -2.01654044e-02  8.33862533e-02  1.17958842e-01
 -1.25113656e-01  1.76803150e-02  1.61970677e-01 -3.93227820e-02
 -1.13589830e-01 -1.21355140e-01 -1.61135953e-02 -2.00039092e-01
 -1.44851365e-01  8.89251623e-02  1.76712001e-01  1.81642462e-01
 -5.72065006e-02 -5.43759169e-01  8.30760004e-02 -1.62709731e-01
  2.74724928e-01  7.79646255e-01 -2.23616311e-01 -1.42399004e+00
 -4.31619698e-02  9.66847071e-02  5.64297093e-01  2.37713062e-01
  2.18013188e-01  8.67177186e-01 -2.28866434e-01  7.73372212e-02
  3.61588319e-01  2.66697140e-02  6.07119505e-01 -2.83825326e-02
  7.11842160e-02 -8.78901940e-02  8.52775025e-02  4.03958840e-02
  1.07495678e-01 -2.86908372e-01  1.06156493e-02  3.44959780e-01
 -5.17818822e-04  3.46464375e-02 -2.76258349e-01 -1.34294964e-01
  2.71369239e-01 -2.83911400e-01 -1.90710341e-01  5.78101274e-02
 -9.80832813e-01 -3.66115839e-01 -1.41623126e-01 -5.23796470e-02
 -1.43649341e-01  1.50933690e-02  1.00460362e-01 -1.41364845e-01
 -5.81763561e-02  1.57983066e-01 -2.35789218e-01 -2.16152176e-02
 -4.59665690e-01 -1.21011852e-01  2.24376810e-01  1.68598279e-01]"
8,8,🙂,Slightly Smiling Face,U+1F642,"A yellow face with simple, open eyes and a thin, closed smile. Conveys a wide range of positive, happy, and friendly sentiments. Its tone canalso be patronizing, passive-aggressive, or ironic, as if sayingThis is finewhen it’s really not.","['yellow', 'face', 'simple', 'open', 'eyes', 'thin', 'closed', 'smile', 'conveys', 'wide', 'range', 'positive', 'happy', 'friendly', 'sentiments', 'tone', 'canalso', 'patronizing', 'ironic', 'sayingthis', 'finewhen', 'really']","[-8.24478731e-02  3.46669683e-01  2.83517732e-01 -6.46659999e-02
  2.80116067e-03  2.92594889e-01 -2.40308212e-01  1.33057257e-01
 -9.62615788e-02 -9.58882679e-02 -2.83350980e-01 -1.78254429e-02
  1.59219896e-01 -1.02661717e-01  3.73193683e-01  1.87174894e-01
 -2.99199161e-01  2.78340555e-02  8.63191033e-02 -7.11960306e-02
  3.15292465e-01  1.76764262e-01 -8.94373726e-02 -1.73303527e-01
  3.66719253e-01  2.83074311e-01  6.16744871e-03 -9.50975771e-02
  1.80870526e-02 -1.86318580e-01  5.74211737e-04  4.14052683e-01
  6.04094565e-03 -1.77094195e-01  3.56589682e-01  1.20570737e-01
  2.31194013e-02  6.86873674e-02 -3.11746884e-02 -1.33599215e-01
  3.58687900e-02 -5.32009103e-01  1.36885154e-01 -1.52722579e-01
 -2.10769269e-01 -6.97619455e-02  2.56275475e-01  2.18659943e-01
  1.52283799e-01 -7.00332007e-01  2.28512949e-01 -1.45174589e-01
  1.85150580e-01  7.17145791e-01 -1.35064684e-01 -1.71274422e+00
  2.76432579e-01  8.75666630e-02  1.04968421e+00  2.74731895e-03
  1.45048980e-02  6.56979155e-01 -3.76480106e-01 -1.29557875e-02
  3.80952883e-01 -9.72989999e-02  4.99006835e-01  8.92866820e-02
  3.55241840e-03 -3.05001053e-01  1.03839104e-01  6.26218952e-02
  1.80293548e-01 -3.95065471e-01  2.19695423e-01  2.55695996e-01
  1.10698423e-02 -6.85452498e-03 -1.07439429e-01 -1.89918824e-01
  3.17096629e-01 -4.58328857e-02 -3.00251266e-01  1.03421067e-01
 -1.04233052e+00 -2.59207436e-01 -9.20603731e-02  1.73030901e-01
 -1.20308785e-01 -2.49974755e-02 -5.72552618e-02  7.84202531e-02
 -1.48330371e-01 -8.51466061e-03 -2.24791371e-01  2.33621471e-01
 -4.91223424e-01 -3.23806183e-01 -6.17740476e-02  3.60753365e-01]"
9,9,🙃,Upside-Down Face,U+1F643,"A classic smiley, turned upside down. Implemented as a flipped version of🙂 Slightly Smiling Faceon most platforms.Commonly used to conveyirony, sarcasm, joking, or a sense of goofiness or silliness.Its intent can besimilar to the bemusedOh well!of🤷Person Shruggingor theshruggieemoticon, ¯\_(ツ)_/¯.Microsoft's designpreviously featureda full-toothed grin.","['classic', 'smiley', 'turned', 'upside', 'implemented', 'flipped', 'version', 'slightly', 'smiling', 'faceon', 'used', 'conveyirony', 'sarcasm', 'joking', 'sense', 'goofiness', 'intent', 'besimilar', 'bemusedoh', 'well', 'shruggingor', 'theshruggieemoticon', 'ツ', 'designpreviously', 'featureda', 'grin']","[-0.01526323  0.03583153  0.33000053 -0.23246817  0.11390983  0.43268421
  0.05091657 -0.12227994  0.01424529  0.05360423 -0.19365745  0.13925479
  0.17583646 -0.17092491  0.36322591  0.06581531 -0.08538641  0.2314503
  0.05998588 -0.11177858  0.2181957   0.1186317  -0.07737388 -0.24329312
  0.34719895  0.20989792 -0.12533729 -0.20020188 -0.10325569 -0.1566393
 -0.01046324  0.40600894 -0.20517371 -0.04317318  0.13230277  0.18990794
  0.00271715 -0.1478547   0.01761812 -0.08598065 -0.00242303 -0.19585424
 -0.02323212  0.04317547 -0.28415886  0.06168166  0.25407188 -0.10162536
 -0.06994617 -0.59631765  0.01422253 -0.06438959  0.40589936  0.73587888
 -0.070356   -1.26670237  0.05079477  0.10578988  0.6207153   0.05956394
  0.25912576  0.67335159 -0.33012376  0.13043386  0.31296247 -0.16409435
  0.37337658  0.01804577 -0.07881006 -0.004551   -0.00784276 -0.02790931
  0.12345672 -0.24091177 -0.05441289  0.20907315  0.06767812  0.1360791
 -0.10326059 -0.09146647  0.149672   -0.32943864 -0.19098982 -0.00309447
 -0.79115794 -0.18233329 -0.01038164 -0.06734653 -0.32671616 -0.05404218
 -0.01567788 -0.01384547 -0.16436462  0.0086177  -0.13030217 -0.06626255
 -0.24256782 -0.32495824  0.15718264  0.37758729]"
