,emoji_symbol,emoji_name,emoji_code,emoji_description
0,😀,Grinning Face,U+1F600,"A yellow face with simple, open eyes and a broad, open smile, showing upper teeth and tongue on some platforms. Often conveys general pleasure and good cheer or humor.Not to be confused with😃 Grinning Face With Big Eyesor😄 Grinning Face With Smiling Eyes, which have the same smiles but more expressive eye shapes.This emoji has a cat variant,😺 Grinning Cat Face."
1,😃,Grinning Face with Big Eyes,U+1F603,"A yellow face with smiling eyes and a broad, open smile, showing upper teeth and tongue on some platforms. Often conveys general happiness and good-natured amusement.Similar to😀 Grinning Facebutwith taller, more excited eyes."
2,😄,Grinning Face with Smiling Eyes,U+1F604,"A yellow face with smiling eyes and a broad, open smile, showing upper teeth and tongue on some platforms. Often conveys general happiness and good-natured amusement.Similar to😀 Grinning Faceand😃Grinning Face With Big Eyes, but with warmer, less excited eyes.This emoji has a cat variant,😸Grinning Cat Face With Smiling Eyes."
3,😁,Beaming Face with Smiling Eyes,U+1F601,"A yellow face with smiling eyes and full-toothed grin, as if sayingCheese!for the camera.Teeth may be smoothed-over or crosshatched. Often expresses a radiant, gratified happiness. Tone varies, including warm, silly, amused, or proud.Prior to 2017, Apple's design resembled its😬 Grimacing Face.Beaming Face with Smiling Eyeswas approved as part ofUnicode 6.0in 2010
under the name “Grinning Face with Smiling Eyes”
and added toEmoji 1.0in 2015."
4,😆,Grinning Squinting Face,U+1F606,"A yellow face with a broad, open smile and scrunched, X-shapedeyes. Often conveysexcitement or hearty laughter.Similar to😀 Grinning Facebut with eyes that might saySquee!orAwesome!An emoji form of the >< or xD emoticons."
5,😅,Grinning Face with Sweat,U+1F605,"Has the same grin and eyes as😄 Grinning Face With Smiling Eyesbut with a single, blue bead of sweat, usually over its left eye. Intended to depict nerves or discomfort but commonly used to express a close call, as if sayingWhew!and wiping sweat from the forehead."
6,🤣,Rolling on the Floor Laughing,U+1F923,"A yellow face with a big grin and scrunched, X-shaped eyes, tilted on its side as if rolling on the floor laughing (the internet acronymROFL). Shedstwo tears and tilts right on most platforms. Often conveys hysterical laughtermore intense than😂 Face With Tears of Joy.Microsoft's designpreviously featureda smiley with hands and feet."
7,😂,Face with Tears of Joy,U+1F602,"A yellow face with a biggrin, uplifted eyebrows, and smiling eyes, each shedding a tear from laughing so hard. Widely used to show something is funny or pleasing.Not to be confused with😭 Loudly Crying Faceor🤣Rolling on the Floor Laughing, which expresses more intense laughter.One of the ten most popular emojis between 2014–2018 and was named the Oxford Dictionaries 2015Word of the Year.This emoji has a cat variant,😹Cat Face With Tears of Joy."
8,🙂,Slightly Smiling Face,U+1F642,"A yellow face with simple, open eyes and a thin, closed smile. Conveys a wide range of positive, happy, and friendly sentiments. Its tone canalso be patronizing, passive-aggressive, or ironic, as if sayingThis is finewhen it’s really not."
9,🙃,Upside-Down Face,U+1F643,"A classic smiley, turned upside down. Implemented as a flipped version of🙂 Slightly Smiling Faceon most platforms.Commonly used to conveyirony, sarcasm, joking, or a sense of goofiness or silliness.Its intent can besimilar to the bemusedOh well!of🤷Person Shruggingor theshruggieemoticon, ¯\_(ツ)_/¯.Microsoft's designpreviously featureda full-toothed grin."
10,😉,Winking Face,U+1F609,"A yellow face with a slightsmile shown winking, usually its left eye. May signala joke, flirtation, hidden meaning, or general positivity. Tone varies, including playful, affectionate, suggestive, or ironic.Not to be confused with the more mischievous orsexual😏 Smirking Face.An emoji form of the ;) emoticon."
11,😊,Smiling Face with Smiling Eyes,U+1F60A,"A yellow face with smiling eyes and a broad, closed smile turning up to rosy cheeks. Often expresses genuine happiness and warm, positive feelings.An emoji form of the ^^ emoticon.OnSnapchat, this emoji next to a contact denotes that you message thatperson often but they aren't your#1 Best Friend."
12,😇,Smiling Face with Halo,U+1F607,"A yellow face with smiling eyes, closed smile, andhalo, usually blue, overhead. Often represents angels,prayers, and blessings. May also conveyangelicbehavior, e.g., doing good deeds. See also👼Baby Angel.Several platforms, including Apple, featureanexpression similar to their😊Smiling Face With Smiling Eyes."
13,🥰,Smiling Face with Hearts,U+1F970,"A yellow face with smiling eyes, a closed smile, rosy cheeks, and several hearts floating around its head. Expresses a range of happy, affectionate feelings, especially being in love. The number of hearts (three or more) varies by platform.Apple's design features the same expression as its☺️ Smiling Face."
14,😍,Smiling Face with Heart-Eyes,U+1F60D,"A yellow face with an open smile, sometimes showing teeth, and red, cartoon-styled hearts for eyes. Often conveys enthusiastic feelings of love, infatuation, and adoration, e.g.,I love/am in love with this person or thing.This emoji has a cat variant,😻 Smiling Cat Face With Heart-Eyes."
15,🤩,Star-Struck,U+1F929,"A yellow face with a broad, open smile, showing upper teeth on most platforms, with stars for eyes, as if seeing a beloved celebrity. Color of stars widely varies by platform, though commonly gold or red. May express that someone or something is amazing, fascinating, impressive, or exciting."
16,😘,Face Blowing a Kiss,U+1F618,"A yellow face winking with puckered lips blowing a kiss, depictedas a small,red heart. May representa kiss goodbye or good night and convey feelings of love and affection more generally.Many platforms feature the same eyes as on their😉Winking Face.Microsoft’s designpreviously featureda feminine smiley with long eyelashes and redlipstick, which could leave akiss mark."
17,😗,Kissing Face,U+1F617,"A yellow face with simple, open eyes and puckered lips giving a kiss. Commonly conveys sentiments of love and affection.Like😙 Kissing Face With Smiling Eyes, this emoji is sometimes taken to represent whistling, especially when paired with amusical note. May convey such feelings as surprise, admiration, contempt, or feigned innocence, as a person casually whistling after wrongdoing saying,Nothing to look at here.Similar to😙 Kissing Face With Smiling Eyesand😚Kissing Face With Closed Eyesbut with less intimate eyes."
18,☺️,️ Smiling Face,"U+263A, U+FE0F","A classic smiley.A yellow face with a modest smile, rosy cheeks, and soft, closed eyes. Many platforms, including Apple, feature relaxed eyebrows. Conveys a wide range of warm, positive feelings, including love, happiness, and gratitude.Similar to😊Smiling Face With Smiling Eyes,which has a broader smile, no eyebrows, and smiling eyes.This smiley predates Unicode emoji support. In its Unicode name ofWhite Smiling Face,whitedoesnotrefer to skin tone or ethnicity.See the glossary for thetermwhitein Unicode character names."
19,😚,Kissing Face with Closed Eyes,U+1F61A,"A yellow face with smiling eyes, rosy cheeks, and puckered lips giving a kiss. Commonly conveys sentiments of romantic love and affection. Several platforms, including Apple, feature the same eyes and cheeks as their☺️Smiling Face.With its closed eyes, features an expression more intimate than😙Kissing Face With Smiling Eyes’s and😗Kissing Face’s.This emoji has a cat variant,😽Kissing Cat Face."
20,😙,Kissing Face with Smiling Eyes,U+1F619,"A yellow face with smiling eyes and puckered lips giving a kiss. Commonly conveys sentiments of love and affection.Like😗Kissing Face, this emoji is sometimes taken to represent whistling, especially when paired with amusical note. May convey such feelings as surprise, admiration, contempt, or feigned innocence, as a person with hands in pocket casually whistling after wrongdoing, as ifsayingNothing to look at here.With its smiling eyes, features an expression fonder than😗Kissing Face'sbut less intimate than😚Kissing Face With Closed Eyes's."
21,😋,Face Savoring Food,U+1F60B,"A yellow face with smiling eyes and a broad, closed smile with itstongue sticking out of one corner, as if licking its lips in appetite or contentment. Widely used to convey that a food item is delicious. May also express that a person is attractive."
22,😛,Face with Tongue,U+1F61B,"A yellow face with small, open eyes and a big grin, playfully sticking out itstongue. Can variously convey a sense of fun, excitement, silliness, cuteness, happiness, or jesting, as if sayingJust kidding!Generally less goofy than😜Winking Face With Tongueand less animated than😝Squinting Face With Tongue.Googlepreviously featureda more defeated expression andSamsung, a more mocking one.Because of its stuck-out tongue, note that this smiley may be applied or interpreted in suggestive ways."
23,😜,Winking Face with Tongue,U+1F61C,"A yellow face sticking out itstongueand making a zany wink, usually shown with its right eye closed and left wide open. Often conveys a sense of fun, excitement, wackiness, buffoonery, or joking.Generally goofier than😛Face With Tongueand😝Squinting Face With Tonguebut less ""crazy"" than🤪Zany Face."
24,🤪,Zany Face,U+1F92A,"A smiley making a silly face. A yellow face with a big grin and wide, white eyes, one larger than the other and in a wild, cockeyed expression. Many platforms, including Apple, depict its tongue stuck out and head tilted; others feature a full-toothed grin, giving it a more unhinged appearance.Commonly represents such activities as acting goofy, having fun, and partying as well as various senses of slang terms likecrazy,usually in a positive manner. May convey a spiritof wackiness more generally."
25,😝,Squinting Face with Tongue,U+1F61D,"A yellow face with scrunched, X-shaped eyes and a big grin, sticking out itstongue. Often conveys a sense of fun, excitement, playfulness, hilarity, and happiness, as if sayingSquee!orAwesome!Similar to😆Grinning Squinting Face.Generally more exuberant than😛Face With Tongueand😜Winking Face With Tongue. Samsungpreviously featureda more sour expression.Because of its stuck-out tongue, note that this smiley may be applied or interpreted in suggestive ways."
26,🤑,Money-Mouth Face,U+1F911,"A yellow face with raised eyebrows,dollar signsfor eyes, and an open smile sticking out a tongue styled after a green,dollar banknote. Some platforms depict the dollar-sign eyes in green circles.Used for a wide range of content dealing with money, including: making money, loving wealth, being or feeling rich, and concepts of success and excellence (e.g.,on themoney)."
27,🤗,Hugging Face,U+1F917,"A yellow face smiling withopen hands, as if giving a hug.May be used to offer thanks and support, show love and care, or express warm, positive feelings more generally.Due to its hand gesture, often used to represent jazz hands, indicating such feelings as excitement, enthusiasm, or a sense of flourish or accomplishment.Joins🤔Thinking Face,🤫Shushing Face, and🤭Face With Hand Over Mouthas one of the few smileys featuring hands. For a more obvious hug, see🫂 People Hugging(new in 2020).Hugging Facewas approved as part ofUnicode 8.0in 2015
and added toEmoji 1.0in 2015."
